experiment,roi,t_sec,amplitude_percent,amplitude_raw,prominence_percent,width_ms,rise_ms,decay_ms,snr,baseline,noise_sigma,gevi,file_path,auc
analysis_output,1,5.895964,6.006,0.060055,430.506,5.812,2.982,2.982,105.83259911894272,-4.7e-05,1.931722,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.034906872
analysis_output,1,13.599878,4.654,0.046535,376.733,5.711,3.976,2.982,82.00881057268721,0.000205,2.267385,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.026578994
analysis_output,1,15.202085,6.536,0.065356,372.565,5.554,3.976,2.982,115.17180616740086,0.001368,1.673643,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.036300944
analysis_output,1,18.255423,14.803,0.148034,318.484,4.398,3.976,1.988,260.84581497797353,0.002702,2.412344,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.065103594
analysis_output,1,18.317046,8.919,0.089188,331.099,5.158,3.976,2.982,157.16299559471364,0.001089,2.533664,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.04600420200000001
analysis_output,1,21.197441,8.289,0.082895,406.446,5.822,3.976,2.982,146.06167400881054,9.7e-05,2.762337,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.048258558
analysis_output,1,22.953707,12.54,0.125404,405.341,5.536,2.982,2.982,220.96916299559467,8.5e-05,2.501019,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.06942143999999999
analysis_output,1,23.241945,-0.124,-0.001236,422.532,5.919,2.982,2.982,2.1850220264317177,-0.001072,2.480389,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,-0.0007339559999999999
analysis_output,1,23.70412,-1.066,-0.010662,429.879,5.56,2.982,2.982,18.784140969162994,0.000517,2.442641,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,-0.00592696
analysis_output,1,24.006274,10.708,0.107082,428.893,5.924,3.976,3.976,188.6872246696035,0.000561,2.335234,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.063434192
analysis_output,1,24.588714,4.745,0.047455,285.718,5.434,3.976,2.982,83.6123348017621,-0.000282,1.705816,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.02578433
analysis_output,1,25.388824,-1.248,-0.015633,438.693,5.243,3.976,2.982,21.991189427312772,0.00026,2.262723,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,-0.006543264000000001
analysis_output,1,27.238518,5.916,0.059164,476.507,5.644,2.982,2.982,104.24669603524228,-0.000516,2.581932,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.033389904
analysis_output,1,28.510742,6.763,0.067629,536.498,5.238,2.982,2.982,119.17180616740086,-0.000158,2.910915,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.035424594
analysis_output,1,31.157565,7.305,0.073052,348.236,5.419,0.0,3.976,128.7224669603524,0.001055,3.070343,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.039585795
analysis_output,1,31.984511,10.089,0.10089,349.337,5.241,3.976,2.982,177.77973568281936,-0.000429,2.911884,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.052876449
analysis_output,1,32.44768,6.693,0.066929,340.326,4.634,2.982,2.982,117.9383259911894,-0.000691,2.191895,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.031015362
analysis_output,1,33.429678,7.004,0.070035,403.847,5.635,3.976,2.982,123.41850220264314,0.000368,2.759971,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.039467539999999995
analysis_output,1,33.83023,15.295,0.152953,437.843,5.88,2.982,2.982,269.5154185022026,-0.00072,3.648141,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.0899346
analysis_output,1,34.786386,10.544,0.105445,511.802,5.691,2.982,2.982,185.7973568281938,0.000916,3.265574,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.060005904
analysis_output,1,35.858831,11.569,0.115691,422.208,5.943,2.982,3.976,203.85903083700438,-0.000356,2.582205,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.06875456699999999
analysis_output,1,38.457945,5.562,0.055619,349.071,5.032,3.976,2.982,98.00881057268721,-0.00099,2.624674,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.027987984
analysis_output,1,38.67959,10.655,0.106554,330.198,5.772,3.976,3.976,187.75330396475766,-0.001036,2.697428,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.06150066
analysis_output,1,41.517247,13.986,0.13986,388.979,5.945,0.0,2.982,246.44933920704844,-0.001369,2.385603,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.08314677000000001
analysis_output,1,42.466445,7.944,0.079439,291.698,4.614,2.982,3.976,139.98237885462552,-0.00081,2.894563,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.036653616
analysis_output,1,42.675169,15.255,0.152549,320.05,5.583,4.97,3.976,268.81057268722464,-0.001904,3.041826,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.085168665
analysis_output,1,43.590574,18.853,0.188532,308.562,4.682,3.976,1.988,332.2114537444934,-0.000936,3.607354,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.08826974600000001
analysis_output,1,43.891734,10.271,0.102711,441.503,5.55,2.982,2.982,180.98678414096915,-0.000584,3.189332,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.05700405
analysis_output,1,44.226686,8.705,0.087046,331.763,5.105,2.982,3.976,153.39207048458147,0.001818,2.604756,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.044439025
analysis_output,1,45.220612,3.499,0.03499,495.746,5.358,3.976,1.988,61.65638766519823,-0.000541,3.678957,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.018747642
analysis_output,1,45.241484,16.742,0.167416,395.633,4.81,2.982,2.982,295.0132158590308,-0.000587,3.552726,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.08052902
analysis_output,1,45.528728,-1.248,-0.046046,381.752,4.933,2.982,2.982,21.991189427312772,0.000433,2.628874,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,-0.006156384
analysis_output,1,45.798082,10.808,0.108077,453.738,5.66,3.976,2.982,190.44933920704844,0.000878,3.893753,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.06117328
analysis_output,1,46.309954,11.155,0.111546,456.623,5.497,3.976,2.982,196.56387665198233,-0.001556,2.610188,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.061319034999999994
