gevi,experiment,roi,n_events,duration_sec,event_rate_hz,amplitude_median,amplitude_iqr,amplitude_cv,width_median,width_iqr,snr_median,snr_iqr,baseline_brightness
ASAP4,analysis_output,1,90,61.68697,1.4589791004486037,4.3235,4.543,0.7363604684662064,5.4775,0.6042499999999995,76.18502202643171,80.05286343612335,-1.15e-05
ASAP4,analysis_output,2,51,61.663115000000005,0.8270746620568876,5.112,4.0595,0.5585869436967605,5.534,0.42100000000000026,88.90434782608696,70.6,1.5e-05
ASAP4,analysis_output,3,27,53.290289,0.5066589149103695,21.238,13.448500000000003,0.5036969628943246,5.483,0.46449999999999925,297.4509803921569,188.35434173669472,-0.00089
ASAP4,analysis_output,4,47,61.094589,0.7692988981397354,17.767,12.029499999999999,0.568528060080449,5.595,0.5865,252.37215909090907,170.87357954545456,-0.000279
ASAP4,analysis_output,5,23,48.730161,0.4719869486989792,11.861,12.315000000000001,0.4833748295177552,5.554,0.41249999999999964,116.68470241023118,121.15100836202654,-0.000648
ASAP4,analysis_output,6,124,61.043899,2.031325030532535,8.9125,11.915750000000003,0.7362067319526724,5.4384999999999994,0.5895000000000001,123.44182825484765,165.03808864265932,0.00046
ASAP4,analysis_output,7,93,61.205909999999996,1.5194611108633138,10.096,8.959,0.6297168332596323,5.521,0.5859999999999994,160.5087440381558,142.43243243243245,-5.7e-05
ASAP4,analysis_output,8,53,57.602931,0.9200920696205546,7.632,6.164000000000001,0.5953818700064051,5.524,0.5060000000000002,139.27007299270073,112.48175182481754,-5e-05
ASAP4,analysis_output,9,56,60.750692,0.9218001994117203,10.461,7.073,0.6629431478209316,5.531000000000001,0.6047500000000001,111.2872340425532,75.24468085106383,0.000454
ASAP4,analysis_output,12,66,60.628439,1.0885980422487869,16.341,9.426000000000002,0.4786490233584917,5.486000000000001,0.7062500000000007,239.42857142857144,138.10989010989016,0.0001565
ASAP6.2,analysis_output,1,304,61.946384,4.90746965956883,11.8095,10.51925,0.6191356189994576,5.419,0.6507500000000004,208.09691629955944,185.36123348017617,2.3e-05
ASAP6.2,analysis_output,2,207,60.452514,3.4241752129613667,10.319,8.821,0.6254768187934623,5.44,0.649,179.46086956521742,153.40869565217395,-0.000166
ASAP6.2,analysis_output,3,235,61.749586,3.8056935312894242,5.877,6.686,0.761181533274464,5.526,0.524,82.31092436974791,93.64145658263305,8e-05
ASAP6.2,analysis_output,4,177,61.541857,2.8760913080669632,9.599,14.132,0.7520430298739283,5.498,0.6040000000000001,136.3494318181818,200.73863636363637,3e-06
ASAP6.2,analysis_output,5,75,60.042023,1.249125133575196,15.906,12.149500000000003,0.5284363328405066,5.6,0.5505000000000004,156.4781111657649,119.52287260206592,4.7e-05
ASAP6.2,analysis_output,6,59,59.602709,0.9898878925117314,8.799,7.099499999999999,0.610591631725153,5.488,0.6390000000000002,121.86980609418282,98.33102493074792,0.000126
ASAP6.2,analysis_output,7,46,52.022041,0.88424058563946,10.3995,6.54275,0.6084827219042516,5.362500000000001,0.6972499999999995,165.33386327503976,104.01828298887122,-0.000137
ASAP6.2,analysis_output,9,32,60.726838,0.5269498800513869,9.9565,10.67025,0.5652393952384722,5.215,0.7647500000000012,105.92021276595744,113.51329787234042,-0.00030199999999999997
ASAP6.3,analysis_output,1,320,61.920542,5.167913420396094,9.729,10.259250000000002,0.7234999815582305,5.42,0.6974999999999998,171.4361233480176,180.77973568281936,7.3e-05
ASAP6.3,analysis_output,2,251,61.396743,4.088164741898442,8.688,7.6475,0.5890225559973779,5.579,0.5090000000000003,151.09565217391307,133.0,-2.1e-05
ASAP6.3,analysis_output,3,428,61.584594,6.949790072497676,9.1355,7.35925,0.5799065328671201,5.42,0.6964999999999995,127.94817927170871,103.07072829131653,0.0002185
ASAP6.3,analysis_output,4,257,61.491166,4.179462136073335,10.114,11.029,0.6901169932197718,5.561,0.4980000000000002,143.66477272727272,156.6619318181818,0.000217
ASAP6.3,analysis_output,5,194,61.637273,3.1474461889318173,9.03,9.254,0.6932556090704712,5.516500000000001,0.5844999999999994,88.83423512051155,91.03787506148547,-5.35e-05
ASAP6.3,analysis_output,6,212,61.548813,3.444420609703716,9.8265,10.55575,0.6927256195416024,5.4815000000000005,0.6577499999999992,136.10110803324102,146.20152354570638,2.65e-05
ASAP6.3,analysis_output,7,138,61.661128,2.2380388500190915,12.3975,11.850999999999999,0.6771199671970831,5.517,0.6285000000000007,197.0985691573927,188.41017488076318,-5.500000000000001e-06
ASAP6.3,analysis_output,8,156,60.156325,2.593243520111975,9.4575,6.9145,0.6319813405625171,5.5245,0.5742500000000001,172.58211678832117,126.17700729927007,0.0001175
ASAP6.3,analysis_output,9,113,60.977306999999996,1.853148417984415,13.831,13.136,0.6468105322154498,5.572,0.5449999999999999,147.13829787234042,139.7446808510638,-0.000311
ASAP6.3,analysis_output,10,55,55.550475,0.9900905437802288,9.324,6.936500000000001,0.5831959725001128,5.543,0.492,210.9502262443439,156.93438914027155,5.5e-05
ASAP6.3,analysis_output,11,145,61.556765,2.3555493860016847,14.974,13.164,0.5830300387908233,5.592,0.5659999999999998,161.35775862068968,141.8534482758621,8.6e-05
