experiment,roi,t_sec,amplitude_percent,amplitude_raw,prominence_percent,width_ms,rise_ms,decay_ms,snr,baseline,noise_sigma,gevi,file_path,auc
analysis_output,1,29.912177,18.212,0.18212,363.339,5.046,3.976,2.982,272.83895131086143,-0.001544,4.797313,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.091897752
analysis_output,1,29.941001,23.063,0.230634,312.723,4.774,3.976,2.982,345.5131086142322,-0.001605,4.827156,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.11010276199999999
analysis_output,1,30.002624,0.219,0.00204,305.964,5.624,8.945,2.982,3.2808988764044944,-0.001737,5.17944,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.0012316559999999998
analysis_output,1,30.541331,16.56,0.165597,302.285,4.899,0.0,3.976,248.0898876404494,0.000473,7.181795,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.08112744
analysis_output,1,34.705878,20.389,0.203894,520.759,5.437,3.976,2.982,305.4531835205992,-0.000498,5.682073,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.11085499300000001
analysis_output,1,34.727744,8.773,0.087732,298.212,5.917,4.97,3.976,131.43071161048687,-0.000715,5.089769,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.05190984099999999
analysis_output,1,38.127962,11.607,0.116068,384.146,4.48,2.982,2.982,173.88764044943818,-0.001699,4.143564,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.05199936
analysis_output,1,38.531495,28.436,0.29028,399.349,5.887,3.976,2.982,426.0074906367041,-0.00059,4.212903,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.167402732
analysis_output,1,43.898691,2.678,0.026781,446.244,5.64,2.982,2.982,40.11985018726592,0.000567,5.36456,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.015103919999999998
analysis_output,1,46.125083,16.642,0.166417,314.121,4.191,2.982,2.982,249.31835205992508,-0.002406,3.746661,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.06974662200000001
analysis_output,1,47.60802,11.769,0.117695,431.93,5.769,2.982,2.982,176.31460674157302,-0.000305,5.364878,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.06789536100000002
analysis_output,1,47.710394,13.346,0.133461,340.864,5.52,4.97,3.976,199.94007490636704,-0.001319,4.359643,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.07366991999999999
analysis_output,1,47.794878,5.448,0.05448,372.364,5.355,3.976,2.982,81.6179775280899,-0.001574,4.306924,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.029174040000000005
analysis_output,1,47.964839,5.384,0.053842,333.804,5.684,0.0,2.982,80.65917602996255,-0.001284,6.733147,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.030602656000000002
analysis_output,1,48.310725,6.433,0.064327,347.153,5.412,4.97,4.97,96.37453183520599,-0.000746,5.198347,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.034815396
analysis_output,1,48.330603,25.85,0.258497,411.683,5.572,0.0,3.976,387.26591760299624,-0.000727,6.005926,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.1440362
analysis_output,1,49.81354,14.214,0.142143,327.491,5.865,3.976,3.976,212.9438202247191,0.001406,4.880804,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.08336511
analysis_output,1,49.858266,28.436,0.321239,349.352,4.703,4.97,3.976,426.0074906367041,0.001186,4.956409,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.133734508
analysis_output,1,50.05407,3.453,0.034526,348.799,4.25,2.982,2.982,51.73033707865168,0.00022,7.05913,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.01467525
analysis_output,1,50.259812,21.068,0.210682,292.902,4.729,0.0,3.976,315.62546816479403,-0.000684,5.862911,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.09963057200000001
analysis_output,1,50.58085,28.436,0.319776,408.525,4.998,0.0,2.982,426.0074906367041,2.2e-05,5.826075,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.14212312800000002
analysis_output,1,50.967487,18.226,0.182259,451.672,5.356,3.976,3.976,273.0486891385768,-0.000114,5.961055,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.09761845599999999
analysis_output,1,51.221932,12.397,0.123971,391.196,5.87,3.976,3.976,185.72284644194755,-0.000679,5.64573,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.07277039
analysis_output,1,51.886867,14.602,0.146025,345.87,5.175,3.976,2.982,218.7565543071161,-9e-05,5.57587,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.07556534999999999
analysis_output,1,52.281456,13.251,0.132514,475.504,5.801,3.976,2.982,198.51685393258424,0.001124,7.610786,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.076869051
analysis_output,1,52.321213,15.44,0.154401,398.645,5.367,2.982,2.982,231.31086142322096,0.00045,6.140572,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.08286647999999999
analysis_output,1,52.352024,21.644,0.216444,358.22,5.802,3.976,2.982,324.25468164794,-7.2e-05,6.998453,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.125578488
analysis_output,1,52.796309,28.436,0.285494,415.98,5.945,4.97,11.927,426.0074906367041,-0.005261,5.999804,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.16905202
