gevi,experiment,roi,n_events,duration_sec,event_rate_hz,amplitude_median,amplitude_iqr,amplitude_cv,width_median,width_iqr,snr_median,snr_iqr,baseline_brightness
ASAP6.2,analysis_output,1,157,61.095584,2.5697438296031345,14.741,8.854000000000001,0.48045428676827184,5.351,0.681,220.8389513108614,132.6441947565543,7e-05
ASAP6.2,analysis_output,2,29,59.217065,0.48972369704577556,8.247,5.720000000000001,0.4038204734118868,5.304,0.9109999999999996,167.9633401221996,116.49694501018334,0.000198
ASAP6.2,analysis_output,3,52,60.305414,0.8622774731303561,4.795,2.8367500000000003,0.43862717956997577,5.433,0.5427499999999998,43.97065566254011,26.0132966529115,0.000632
ASAP6.3,analysis_output,1,231,61.920542,3.7305875003484306,9.941,9.5665,0.6757606743139718,5.364,0.7294999999999998,148.92883895131087,143.3183520599251,8.5e-05
ASAP6.3,analysis_output,2,66,61.354004,1.0757244140089046,8.103,7.94925,0.5687879365384222,5.4985,0.6352500000000001,165.030549898167,161.89918533604887,-9.549999999999999e-05
ASAP6.3,analysis_output,3,298,61.147267,4.87348028162894,9.1475,7.26725,0.5588669071485884,5.356,0.7707499999999996,83.88353966070609,66.64144887666207,0.0005245
ASAP6.3,analysis_output,4,41,59.855166000000004,0.6849868230254343,8.042,6.207000000000001,0.6448501267636096,5.46,0.48599999999999977,202.0603015075377,155.95477386934675,1.2e-05
